index,推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
0,_碳十二_,毕导THU,科普,B站,https://space.bilibili.com/254463269,总之很有意思！,2021-01-14 00:00:00
1,_碳十四_,戴建业老师,诗词,B站,https://space.bilibili.com/532741557,打开新世界大门,2021-01-14 00:00:00
2,_氧十六_,芳斯塔芙,生物,B站,https://space.bilibili.com/72270557,真的好看！,2021-01-15 00:00:00
3,碳十二,罗翔说刑法,法律,B站,https://space.bilibili.com/517327498,,2021-01-15 00:00:00
4,inm小顾,智能路障,鲁迅,B站,https://b23.tv/L6oelp,视角独特，引人深思,2021-01-15 00:00:00
5,每天都要努力鸭,宋浩老师官方,高数,B站,https://space.bilibili.com/66607740/?share_source=copy_link&share_medium=iphone&bbid=Z54461512ED27A344361BB01F64234736143&ts=1610755856,数学课很有趣，比较容易接受,2021-01-16 00:00:00
6,荷梓,天真的和感伤的小说家,文学,B站,https://space.bilibili.com/314521322/,讲各种文学作品，视频幽默有趣，从中有很多思考,2020-01-16 00:00:00
7,KnightWJD,思维实验室,文化,B站,https://space.bilibili.com/14583962/,每个视频全程干货，给人的启发很大，并且什么方面的知识都会去科普,2020-01-16 00:00:00
8,墨鱼,Yjango,学习,B站,https://b23.tv/UfjTnz,学习观系列视频作品带你深入了解什么是学习,2020-01-16 00:00:00
9,略略,沈奕斐,爱情/社会学,B站,https://space.bilibili.com/349092963/,从社会学的角度向我们分析两性关系，可以让你在女性，在两性关系，在从爱情到婚姻的整个话题上都有很多的启发，帮助你打开对两性关系的想象,2020-01-16 00:00:00
10,yesi,汤质看本质,,B站,https://www.bilibili.com/video/BV1f4411x7E9,告诉你各类抽象的理论到底在现实里有什么用,2021-01-16 00:00:00
11,弦鱼,学院派Academia,社会学科普,B站,https://space.bilibili.com/96639395,超长，一次爽到，社会学科普向,2021-01-16 00:00:00
12,笨笨就喜欢这样的你,轻松的小希,编程,CSDN,https://blog.csdn.net/qq_38490457/article/details/108281646,Java后端这种知识总结一篇就够,2021-01-17 00:00:00
13,许zy,北京青年x凉子访谈录,采访类,B站,https://space.bilibili.com/496688267/,许多人的访谈，或顺利或坎坷，每次难过的时候看一看都会重新得到力量,2021-01-17 00:00:00
14,,Linvo说宇宙,天文学/量子力学/宇宙学,B站,https://space.bilibili.com/357515451/,天文学&量子力学&宇宙学的基础科普,2021年1月18日14:12:43
15,,乌鸦校尉CaptainWuya,历史,B站,https://space.bilibili.com/521249172/,基于事实和档案重新解构近现代中国历史,2021年1月18日14:16:42
16,,文曰小强,科普,B站,https://space.bilibili.com/19456751/,"科普类小说导读
带你感受工业文学之美",2021年1月18日14:20:21
17,,幻海航行,科普,B站,https://space.bilibili.com/193147738,,2021年1月18日14:20:21
18,,一马当先陈玉成,历史科普,B站,https://space.bilibili.com/58008614/,硬核历史科普，UP铁骨铮铮(五毛一条括号内···,2021年1月18日14:20:21
19,,我是江无情,辟谣up,B站,https://space.bilibili.com/486633990/,辟谣UP主，教科文相关谣言看看他这里有没有,2021年1月18日14:20:21
20,zoe,不正经老丝,杂谈,B站,https://space.bilibili.com/378885845/,动漫、医学、辟谣、历史都有，最近几期视频是关于语文历史的，相比起初中高中的语文课，讲得很透彻,2020-01-17 00:00:00
21,天気,生命中国,生物,B站,https://space.bilibili.com/19553447/,转载很多生物类的相关课程，自己也会录一些视频。学生物的必关注的UP,2021-01-17 00:00:00
22,天気,令人制烯全靠有机,,B站,https://space.bilibili.com/121793404/,华中科技大学的一个老师，录了一系列有机的课，讲得真的很不错,2021-01-18 00:00:00
23,星海的游吟诗人,经济研究室-祈祷,经济,B站,https://b23.tv/sWLjV7,目前在做经济类巨著的解读，也有在讲中国古代的经济思想，我一个外行人感觉受益匪浅,2021-01-18 00:00:00
24,星海的游吟诗人,史图馆,历史,B站,https://b23.tv/fDpKTO,多位历史同好联合创作，视频内容优质,2021-01-18 00:00:00
25,星海的游吟诗人,御史房,历史,B站,https://b23.tv/z0gD5d,在解读历史和历史人物时，常有自己对历史独到的见解，使人耳目一新。,2021-01-18 00:00:00
26,Sobriety,Frank-FuckPPT,数学,B站,https://b23.tv/Y0Kmuy,讲的很好，up极其优秀，打破了死板教学，学计算机必看,2021.1.1.19
27,Timeless,英语兔,英语,B站,https://space.bilibili.com/483162496/,在英语语音方面极好，学英语必看,2021-01-18 00:00:00
28,Sobriety,Topbook,提升效率,B站,https://space.bilibili.com/29959830?from=search&seid=9423522767653728885,效率up,2021.1.1.19
29,天気,英语兔,英语,B站,https://space.bilibili.com/483162496/,提高口语水平的基础课——音标课讲的很好，能帮助找出平时发音不标准的地方并改正,2021-01-18 00:00:00
30,远志学,科学声音,科普,B站,https://space.bilibili.com/355126576/,科普知识,2021-01-19 00:00:00
31,远志学,,政治经济,B站,https://space.bilibili.com/526559715/,政治经济,2021-01-19 00:00:00
32,远志学,tonypt,语言,B站,https://space.bilibili.com/24486177/,印欧语言学，吐火罗语，吠陀梵语，荷马史诗,2021-01-19 00:00:00
33,远志学,YJango,学习观,B站,https://space.bilibili.com/344849038/,学习观,2021-01-19 00:00:00
34,远志学,天冬Asp,植物科普,B站,https://space.bilibili.com/338235854/,植物科普，风趣幽默,2021-01-19 00:00:00
35,远志学,李董男,中医,B站,https://space.bilibili.com/410889248/,中医各家学说，中国医学史，有态度的中医老师,2021-01-19 00:00:00
36,乾先生,统一的奸商之路,赚钱,B站,https://space.bilibili.com/8420618/,你在学校学不到的赚钱技术，他真的能教你,2021-01-21 00:00:00
37,乾先生,公孙田浩,,B站,https://space.bilibili.com/512574759/,用数据和事实呈现另一个互联网世界,2021-01-21 00:00:00
38,乾先生,底层原理,,B站,https://space.bilibili.com/26606146/,专门研究大脑原理的up主，纯学术类表达,2021-01-21 00:00:00
39,划水小能手,波普尔2020,,B站,B站UID:501237937,批判吸收，偶尔看点别的思路,2021-01-21 00:00:00
40,不知道几碗粥,这是morty,财经知识,B站,https://space.bilibili.com/393260578/,讲解了许多财经类的知识和一些自身人生的感悟,2021-01-23 00:00:00
41,AlbertTony周,西西相,,B站,https://space.bilibili.com/180904367/,很多一流大学课程，很完整,2021-01-26 00:00:00
42,没钱买茶叶蛋和榨菜的小汤,英语兔,英语,B站,https://b23.tv/1B5u0Q,英语的基础音标课,2021年二月二日
43,无名之辈,乐乐老师的网络课堂,,B站,https://space.bilibili.com/410570125/dynamic,,2021-02-01 00:00:00
44,Ch恩,李好帅的黄金屋,,B站,https://space.bilibili.com/16395179?from=search&seid=4896203635739973165,北京大学（法律系？）毕业的up主，对书籍的解说非常引人入胜，会通过讲故事+评论这种非常生动的方式去探讨质量极高的书籍，我很爱,2020.2/2
45,小树先森,SuccessDiary_帅帅,,B站,https://space.bilibili.com/4963278/,有几期关于迷茫，拖延，一些想法和理念挺不错的,2021-02-01 00:00:00
46,意识律者,有山先生,,B站,https://space.bilibili.com/28626598?from=search&seid=17158515706484091823&spm_id_from=333.337.0.0,人外有人，山外有山，有山先生活得十分真性情，触动了我内心的一些东西，而且文章写得也很有意思。小伙子也很真诚（此处附带滑稽表情）,2021-02-02 00:00:00
47,不系之舟,萨姐的南腔北调,,B站,https://m.bilibili.com/space/509709191,家常面包、蛋糕教程,2021-01-17 00:00:00
48,不系之舟,是怼子吖,,B站,https://m.bilibili.com/space/297270292,很多零基础小手工,2021-01-17 00:00:00
49,不系之舟,暖暖的小鱼姐,,B站,https://m.bilibili.com/space/605439614,娃衣制作,2021-01-17 00:00:00
50,不系之舟,麦呆小公举,,B站,https://m.bilibili.com/space/24284811,培养水彩特长，推荐很多良心画材,2021-01-17 00:00:00
51,不系之舟,SHEEP_RABBIT,,B站,https://m.bilibili.com/space/259812938,立体折纸,2021-01-17 00:00:00
52,不系之舟,昂克英文君,,B站,https://m.bilibili.com/space/286263737,学英语干货,2021-01-17 00:00:00
53,不系之舟,爱读书的King,,B站,https://m.bilibili.com/space/294086042,讲了些大学最重要的事，方便避雷和走好路,2021-01-17 00:00:00
54,不系之舟,epcdiy,,B站,https://m.bilibili.com/space/12590,数码/互联网技术,2021-01-17 00:00:00
55,不系之舟,无穷小亮的科普日常,,B站,https://m.bilibili.com/space/14804670,生动有趣滴博物君,2021-01-17 00:00:00
56,不系之舟,Penthesileia,,B站,https://m.bilibili.com/space/514051666,意法泛艺术史纪录片野生字幕君、搬运工,2021-01-17 00:00:00
57,不系之舟,偶然明朗_Fiona,,B站,https://m.bilibili.com/space/20361533,脑科学科普,2021-01-17 00:00:00
58,不系之舟,Soga卡卡酱,,B站,https://m.bilibili.com/space/17507005,30+职场女性的建议,2021-01-17 00:00:00
59,不系之舟,童姥_女孩别怕,,B站,https://m.bilibili.com/space/66605322,关注女性安全、女性观,2021-01-17 00:00:00
60,与风同饮,历史系的沙丁鱼,,B站,https://space.bilibili.com/375069183/video,历史类讲座视频集聚地,2021-01-17 00:00:00
61,阿幸,学院派Academia,,B站,https://b23.tv/4nnWfz,制作用心，认真有料的,2021-01-16 00:00:00
62,阿幸,一数,,B站,https://b23.tv/odFlJs,制作用心，初高中数学讲解,2021-01-16 00:00:00
63,瑶妖,ElenaLin_青青,,B站,https://space.bilibili.com/5128788/,"认真且上进的up,每次都是干货满满",2021-01-18 00:00:00
64,瑶妖,苜蓿老师,,B站,https://space.bilibili.com/23568088/,分享干货的教资通过者,2021-01-18 00:00:00
65,魂帝HD,,,B站,https://space.bilibili.com/19658621/video?tid=0&page=1&keyword=&order=pubdate,前微软大佬，能指引你如何入门编程，如何继续深入学习编程,2021-01-26 00:00:00
66,海茉er,十三兰德,,B站,https://space.bilibili.com/2087065/,目前更新到美丽新世界，推的书籍都是十分有趣的。非常建议一读,2021-01-27 00:00:00
67,lei0513,历史系の沙丁鱼_llz,历史学专业讲座课程,B站,https://space.bilibili.com/375069183/,历史学专业讲座课程,2021-02-06 00:00:00
68,lei0513,文采飘逸的归来,历史学专业讲座,B站,https://space.bilibili.com/486009552/,历史学专业讲座，与上面推荐的up主的同时食用效果更佳,2021-02-06 00:00:00
69,杨絮不吃苦瓜,Coach-Shane,,B站,https://space.bilibili.com/473051410/,Daily English Dictation和E^3系列拯救了我的英语听力和口语表达，老师很有趣，视频做的很棒，跟着学习时间长了非常有效果。,2021-02-07 00:00:00
70,无聊の暮庆,杨真直,自制力，管理，学习，习惯，拿高分，,B站,https://space.bilibili.com/547173382?share_medium=android&share_source=copy_link&bbid=XY8DD3588787835C4D23CFCC59CD7E7F886A4&ts=1612753270426,,2021-02-07 00:00:00
71,木石石石,YJango,人工智能，学习观,B站,https://b23.tv/UfjTnz,力荐，颠覆你对学习的认知。在粉丝的支持下，有关“学习观”的书也正在制作中，超级期待！！！！,2021-02-07 00:00:00
72,Lenod,附议YJango,,,,,
74,假动作丶False,动画讲编程,算法以及计算机语言,B站,https://space.bilibili.com/526619673?from=search&seid=10948106921685776118,用动画讲编程，非常有意思且易理解,2021-02-07 00:00:00
75,斯巴达117士官长,眼见为识,物理学硬核科普up,B站,https://space.bilibili.com/430948380/,视频长而质量极高，硬核科普，如果看不大懂就多看几遍，强烈推荐,2021-02-07 00:00:00
76,斯巴达117士官长,赵峥讲物理,北师大物理教授,B站,https://space.bilibili.com/670860565/,北师大物理教授,2021-02-07 00:00:00
77,斯巴达117士官长,我是江无情,硬核辟谣,B站,https://space.bilibili.com/486633990/video,可以帮助各位揭开神秘谣言的真相,2021-02-07 00:00:00
78,飒飒飒,万物捡史,很多领域和冷知识,B站,https://space.bilibili.com/328531988/video,魔性的动画和略微搞笑的陪音 让人看完一集还想看下一集,2021-02-07 00:00:00
79,飒飒飒,看懂村,心理类,B站,https://space.bilibili.com/37254033?from=search&seid=17278423282161378541,更加魔性的动画和陪音 让一知半解的知识变得有趣,2021-02-07 00:00:00
80,四月是谁的谎言M,张叶蕾Leafy,,B站,https://space.bilibili.com/111230371/?share_source=copy_link&share_medium=iphone&bbid=Z640416BE77D6CD24914A791ED03F8CED5CC&ts=1612783638,,2021-02-07 00:00:00
81,四月是谁的谎言M,Jason—老湿,,B站,https://space.bilibili.com/540564177/?share_source=copy_link&share_medium=iphone&bbid=Z640416BE77D6CD24914A791ED03F8CED5CC&ts=1612783889,,2021-02-07 00:00:00
82,妖怪测谎仪,yuka老师,日语,B站,https://space.bilibili.com/485503730,,2021-02-07 00:00:00
83,中医雨霁,中科院格致论道讲坛,各种尖端科学论道,B站,http://space.bilibili.com/447261734/,中科院格致论道讲坛由中国科学院全力推出的科学文化讲坛，由中国科学院计算机网络信息中心和中国科学院科学传播局联合主办。致力于非凡思想的跨界传播，旨在以“格物致知”的精神探讨科技、教育、生活、未来的发展。,2021-02-07 00:00:00
84,丽日枫凪,新世纪之光,CFD,B站,https://space.bilibili.com/176075?spm_id_from=333.788.b_765f7570696e666f.2,天大的教师，蝙蝠时代被迫出道的，讲的很通俗易懂,2021-02-07 00:00:00
85,Ocean,老爸评测,,,,少交智商税,2021-02-07 00:00:00
86,我是初墨我姓熊,智能路障,鲁迅,B站,https://space.bilibili.com/79577853?share_medium=android&share_source=copy_link&bbid=XYDA138DA6550513AA57842955B1BB84C9C7B&ts=1612798785432,鲁迅生平，以及鲁迅著名作品栏目,2021-02-07 00:00:00
87,Thello,正月点灯笼,编程,B站,https://b23.tv/Ifl7XD,尽管计算机和编程什么的跟我自己的专业顶多半毛钱关系，但是我觉得他讲东西和解释都非常清楚，有时甚至都觉得我看上瘾了。,2021-02-07 00:00:00
88,Thello,帆雨动画,机械原理,B站,https://b23.tv/ai2mVC,机械原理小动画，非常神奇。,2021-02-07 00:00:00
89,Thello,稚晖君,,B站,https://b23.tv/Vc752Z,总而言之实在是太厉害了，自称野生钢铁侠，独立开发迷你电子产品,2021-02-07 00:00:00
90,萌萌哒的酸奶片,汤质看本质,哲学，哲学史,B站,https://space.bilibili.com/362588980?from=search&seid=1912393903864066673,简要介绍哲学是什么，为了什么，为什么要学哲学。还有一大堆哲学科普教你适应这个世界.,2020-02-08 00:00:00
91,萌萌哒的酸奶片,薛定饿了么,物理，数学,B站,https://space.bilibili.com/44473221?from=search&seid=8088246349130514384,通过生动有趣的科普视频来介绍数学以及物理学中的各种深奥而又有趣的内容,2020-02-08 00:00:00
92,Туманвский,JHTV,Maya/3D建模,B站,https://space.bilibili.com/72488046,曲线建模，uv排布，简单动画，骨骼绑定,2021-02-08 00:00:00
93,Туманвский,龚老师课堂,Maya，zb/3D建模,B站,https://space.bilibili.com/98828888/video?tid=0&page=5&keyword=&order=pubdate,主流3D软件大部分功能教学，介绍,2021-02-08 00:00:00
94,sin,一数,数学竞赛,B站,https://space.bilibili.com/14229967?from=search&seid=10028804473132962898,基础，扎实，经典，拔高,2021-02-08 00:00:00
95,sin,HuangFuRen,物理,B站,https://space.bilibili.com/23630128?from=search&seid=1126913047084698945,适合高一至高三,2021-02-08 00:00:00
96,北大学长,求职救星瑞秋姐姐,求职教育,B站,https://space.bilibili.com/471151393,很厉害的一个500强HR分享求职技巧,2021-02-08 00:00:00
97,Alan FEVM,硬核麻将,电子音乐，编曲,B站,https://space.bilibili.com/14321190?from=search&seid=5145131305589045072,讲解很厉害的操作，深入混音，告别野鸡教程,2021-02-08 00:00:00
98,纯情的小火鸡,学习使我快乐到无与伦比（不重要）,哲学，生死,B站,https://www.bilibili.com/video/BV1P7411C7Gz,耶鲁大学的老师，视频看起来古老一些，对于究竟何为死亡，灵魂与肉体，等这一类问题将在本视频里得到很好的解答。,2021-02-08 00:00:00
99,Tristesse_STK,SchelleyYuki,计算机编程,B站,https://space.bilibili.com/2630977/,Schelley姐会分享对于计算机编程方面的知识与心得，给我的感觉非常专业，语言与动作的表达让人很舒服，而且能感觉到都是自己消化出来的，并非网上东抄西抄的。个人认为比较适合想要转专业到计算机领域的人。,2021-02-08 00:00:00
100,一芽二哟哦,画画的番木,绘画教学,B站,https://b23.tv/RopNj6,一个超级好的绘画教学博主！入门自学画画的可以去康康: https://b23.tv/C4eUeC 我是这个视频入坑的,2021-02-08 00:00:00
101,蓝白型冷笑话bot,拉片实验室,,B站,https://space.bilibili.com/18248648/video,干货满满，谁看谁知道,2021-02-08 00:00:00
102,鲁迅有一块朽木疙瘩,DR.CAN,机器人学与控制 / SCI论文写作,B站,https://space.bilibili.com/230105574,对于学控制的研究生群体很有帮助，不仅能有滋有味滴学到控制科学相关的课程，甚至能教你SCI论文写作（宝藏博主甚至还用现代控制理论去分析爱情，这样的宝藏博主绝对爱了！,2021-02-08 00:00:00
103,小鳥遊ＬＦ,HangFuRen,高中物理,B站,https://space.bilibili.com/23630128/dynamic,主要为高中物理 讲的很细 可以当作课后的温习,2021-02-08 00:00:00
104,love小小伤,物理系的允文君,大学物理，数学,B站,https://space.bilibili.com/52663683?spm_id_from=333.788.b_765f7570696e666f.1,这个课程特别建议听过一遍老师的讲课，但又感觉迷迷糊糊的学生。允文君是一个非常厉害的大佬，因为同为学生，所以很多老师没有讲的细节，在他那里会讲的很清楚。特别是对于考研的同学来说，很难找到这种对于大学物理知识系统的梳理，希望大家能关注一下这个宝藏up主,2021-02-08 00:00:00
105,小鳥遊ＬＦ,Ksr桑,绘画教学,B站,https://space.bilibili.com/1848018?spm_id_from=333.788.b_765f7570696e666f.1,很有趣的一个up主 画画技术也是非常厉害的 有兴趣的小伙伴可以康康,2021-02-08 00:00:00
106,晨曦,致敬大神,机器学习,B站,https://space.bilibili.com/230105574,up主把她所读过的书籍结合自己的理解拍成教学视频，对人工智能感兴趣的小伙伴可以看她的视频入门,2021-02-08 00:00:00
107,小鳥遊ＬＦ,葉子先生桑,日语,B站,https://space.bilibili.com/10957838?from=search&seid=14204745742581073840,对于那些想学日语 或者参加日语高考的小伙伴们这个可以去康康,2021-02-08 00:00:00
108,小皮球菌,Carrie王脑思,英语,B站,https://space.bilibili.com/471737270?from=search&seid=6134211294820766735&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
109,小皮球菌,画画的Angela,绘画,B站,https://space.bilibili.com/411442559?from=search&seid=13393417961772573788&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
110,小皮球菌,王M争,设计,B站,https://space.bilibili.com/20364476?from=search&seid=6102601555979192524&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
111,小皮球菌,YouTube设计精选,设计,B站,https://space.bilibili.com/281708245?from=search&seid=8637528168148772018&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
112,小皮球菌,设计师的睡前毒物,设计,B站,https://space.bilibili.com/606305397?from=search&seid=5751568804624766153&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
113,小皮球菌,KurTips,设计,B站,https://space.bilibili.com/225179867/video,,2021-02-07 00:00:00
114,小皮球菌,IDJ小九九,设计,B站,https://space.bilibili.com/453406733/video,,2021-02-07 00:00:00
115,小皮球菌,阿阳热爱前端,前端编程,B站,https://space.bilibili.com/478490349?from=search&seid=7470373407635177760&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
116,小皮球菌,oooooohmygosh,设计,B站,https://space.bilibili.com/38053181?from=search&seid=11456995530490823378&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
117,小皮球菌,Breanna设计分享,体验设计,B站,https://space.bilibili.com/476721351/video,,2021-02-07 00:00:00
118,小皮球菌,Krenz官方账号,绘画,B站,https://space.bilibili.com/181578039?from=search&seid=13090079877442576435&spm_id_from=333.337.0.0,,2021-02-07 00:00:00
119,小皮球菌,设计与思考Design &Thinking,设计,B站,,2018.4.12 《设计与思考》是一部在探讨「设计思考」(Design Thinking)的纪录片。它的制作团队，是由Muris缪思以及台湾创意设计中心旧金山分部所组成。他们在2011年认识并一起合作，以创新拍片的方式完成电影，并在全球巡回播放。2013年，该团队又合力制作了第二部国际纪录片-Maker《自造世代》，是一部在探讨自造者运动的纪录片，也再度成功于Kickstarter募款拍片,2021-02-07 00:00:00
120,小皮球菌,Lucy,英语,B站,,跟着美女Lucy学英语 （中英字幕）,2021-02-07 00:00:00
121,神奇海螺1,一数,数学,B站,https://space.bilibili.com/14229967?from=search&seid=17644170544724683971,,2021-02-08 00:00:00
122,神奇海螺1,会放羊的教书匠,数学,B站,https://space.bilibili.com/44980991,,2021-02-08 00:00:00
123,暂无名称,历史调研室,,B站,https://space.bilibili.com/519872016/,,2021-02-08 00:00:00
124,淡定淡定608,受之学堂,工业设计,B站,https://space.bilibili.com/5679766?from=search&seid=5387482709978428720,,2021-02-08 00:00:00
125,还和你说,陆铭教授,空间经济学，计量经济学,B站,https://space.bilibili.com/508835396/,强烈推荐其《大国大城》一书！！！,2021-02-08 00:00:00
126,鬼谷良师,BkbK-,计算机,B站,https://bokai.blog.csdn.net/,,2021-02-09 00:00:00
127,良景,Krenz官方账号,,B站,https://space.bilibili.com/181578039/,绘画基础的干货，很适合新手入门练习时观看,2021-02-08 00:00:00
128,赵阙,不务正业的李雷,生活科普,B站,https://b23.tv/kRaapO,,2021-02-09 00:00:00
129,sky92,sky92昙,西班牙语,B站,https://space.bilibili.com/5548363/channel/detail?cid=151293,新现西的教材讲解，还在持续更新,2021-02-11 00:00:00
130,sky92,冰糖雪梨Cherie,西班牙语,B站,https://space.bilibili.com/66782324,上海某IB国际学校商管和西语老师，有篇A2难度语法讲的很好,2021-02-11 00:00:00
131,Ayzjl,李好帅的黄金屋,分享书的UP,B站,https://space.bilibili.com/16395179?from=search&seid=1391500891483912232,视频风格让你觉得他是在单独的对话，而不是讲述。而且也正在不断尝试新的东西，视频事业也是在上升期，不像之前一断更就是半年。,2021-02-13 00:00:00
132,言念君子,,,B站,https://b23.tv/EuHlgQ,数据结构与算法看到的最仔细耐心的课程，非常适合初学者，唯一的缺点是篇幅较长,2021-02-14 00:00:00
133,东南枝,-LKs-,什锦区up主,B站,https://space.bilibili.com/125526?from=search&seid=4818063267001170616,,2021-02-15 00:00:00
134,杭奕,1900影剧室,影视剧解读,B站,https://www.bilibili.com/video/BV1QJ411a76B?from=search&seid=4446654470707480189,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020-02-29 00:00:00
135,杭奕,木鱼水心,影视剧解读,B站,https://search.bilibili.com/all?keyword=%E6%9C%A8%E9%B1%BC%E6%B0%B4%E5%BF%83,便于快速了解经典影视剧内容及其创作背景，细节性解读影视剧经典之处,2020-02-29 00:00:00
136,杭奕,沙盘上的战争,军事、地理、历史,B站,https://search.bilibili.com/all?keyword=%E6%B2%99%E7%9B%98%E4%B8%8A%E7%9A%84%E6%88%98%E4%BA%89,用三维地图来推演近现代各经典战例，适于军事及历史爱好者,2020-02-29 00:00:00
137,一碗甜桂羮,未明子,哲学,B站,https://space.bilibili.com/23191782?from=search&seid=8812017466133041834,适合哲学入门，一个坚定的Marxist,2021-05-15 00:00:00
138,小斯,oeasy,传媒计算机技能,B站,,中传计算机老师，免费教PS，PR，AE,2021-06-12 00:00:00
139,小斯,白花恋诗彩,通识科普,B站,,十分钟速成课系列相当不错,2021-06-12 00:00:00
140,小斯,老蒋巨靠谱,B站,B站,,全B站分析内容最强的up主之一,2021-06-12 00:00:00
141,小斯,吸奇侠,四大名著,B站,,《水浒传》看法独特,2021-06-12 00:00:00
