index,推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
142,OFPC2Y,冲浪普拉斯,商业历史,B站,https://space.bilibili.com/290548469,中国商业历史，听听耳熟能详的品牌与商业大佬们的故事。不看不知道，商界故事可能比电视剧还狗血！,2021-06-16 00:00:00
143,贰子小脑斧,来真的,建筑,B站,https://space.bilibili.com/590784254/,,2021-07-03 00:00:00
144,贰子小脑斧,一只建筑精,建筑,B站,https://space.bilibili.com/484332084/,,2021-07-04 00:00:00
145,贰子小脑斧,海边的Liam,建筑,B站,https://space.bilibili.com/598257922/,,2021-07-05 00:00:00
146,琰の紅蓮,hero3046,日语,B站,https://space.bilibili.com/65988295,"讲的挺好,推荐他的一个文法查询的Excel,去他qq群看公告里有,具体是什么东西看这个视频https://www.bilibili.com/video/av26959498",2021-08-02 00:00:00
147,Wu F.E.3的,古城算法,计算机算法,B站,https://b23.tv/i0z93Q,数据结构和算法，讲得很好,2021-08-20 00:00:00
148,,老师好我叫何同学,数码区up主,B站,B站,95后北邮大学生数码区天花板,2021-08-20 00:00:00
149,,義北偏北,文史哲,B站,https://b23.tv/uUu6ZB,上传文史哲类公开课,2021-08-20 00:00:00
150,,coachshane,英语学习,B站,https://space.bilibili.com/473051410?spm_id_from=333.788.b_765f7570696e666f.1,"学习英语daily diction 必看,讲课生动有趣,口技大师,表演家,三观很正",2022-10-21 00:00:00
151,于阳阳阳阳,沈逸老师,国际关系，网络空间安全治理,B站,https://space.bilibili.com/648113003,真的强烈推荐，干货多且有长难句,2021-12-15 19:50:31
152,彼得-施特拉塞,一点创绘工作室,机械类大学生技能竞赛的讲解、Solidworks教程,B站,致力于大学生个人成长与技能竞赛,本人就是看他的视频并且参加的技能竞赛，学习到很多使用技巧，建议机械专业的大学生看一下,2021-12-15 20:11:16
153,CNtei,Yoloidea,人文,B站,https://space.bilibili.com/391624812/,"不出名的人文Up，精神荒原在下沉,我们依旧在狂欢. 搞不好以后会是个厨子 常居成都",2021-12-15 20:23:50
154,CNtei,男闺蜜kz,情感,B站,https://space.bilibili.com/1021770972/,情感区搞笑up主,2021-12-15 20:26:46
155,CNtei,乐有为医生,性健康,B站,https://space.bilibili.com/1103272707/,第五届中国十大男性健康科普专家 关注我，做快乐男人！,2021-12-15 20:28:09
156,CNtei,心理满,心理,B站,https://space.bilibili.com/304207312,,2021-12-15 20:30:06
157,CNtei,科普中国,科普,B站,https://space.bilibili.com/92601724,让科技知识在生活中流行,2021-12-15 20:32:27
158,彼得-施特拉塞,军武志,军事科普,B站,无用的知识增加了,的确是知识增加了,2021-12-15 20:32:57
159,CNtei,刘少伟教授,食品安全,B站,https://space.bilibili.com/515059146,美国宾夕法尼亚州立大学食品安全博士，美国堪萨斯州立大学博士后,2021-12-15 20:34:48
160,CNtei,音樂家的無聊人生,音乐,B站,https://space.bilibili.com/1794321502,這個頻道跟你分享如何體驗音樂，讓你跟音樂不再有距離!,2021-12-15 20:35:50
161,CNtei,科普中国官方平台,科普,B站,https://space.bilibili.com/652531714,中国科协官方账号,2021-12-15 20:37:17
162,彼得-施特拉塞,痞仔伯爵,实用的软、硬件知识,B站,专注数码推荐、测评，分享有趣实用的软、硬件知识；商务V：dmwll-1234,风趣幽默地评测、分享各种有趣实用的软、硬件知识，以及一些电脑数码推荐、测评。讲的啥虽然会忘掉，但风趣幽默的话语我绝对忘不了。,2021-12-15 20:37:51
163,CNtei,-阿健-,性学等,B站,https://space.bilibili.com/18690024,把困在脑子里的想法救出来,2021-12-15 20:41:52
164,CNtei,北师大刘文利,性教育,B站,https://space.bilibili.com/1535016452,北京师范大学教授、儿童性教育专家,2021-12-15 20:42:38
165,CNtei,歐麗娟,文学,B站,https://space.bilibili.com/1867363969,台湾大学中文系教授,2021-12-15 20:44:12
166,CNtei,Mandell博士,健康,B站,https://space.bilibili.com/1473247194,脊椎矫正医师Dr. Mandell,2021-12-15 20:47:10
167,CNtei,心理学陈祉妍,心理,B站,https://space.bilibili.com/475015328,中国科学院心理研究所国民心理健康评估发展中心负责人、中科院心理所教授、硕士生导师,2021-12-15 20:48:53
168,CNtei,菲比老司机,性学,B站,https://space.bilibili.com/1930181623,人类性学硕士，树德科大-人类性学硕士 ACS美国执业性学家＆性教育家 中华世界华人性学家协会(WACS) 理事,2021-12-15 20:50:15
169,CNtei,李银河,婚姻、家庭、情感、性别与性,B站,https://space.bilibili.com/702575961,中国社会学家,2021-12-15 20:53:10
170,CNtei,子小孙的老年生活,知识,B站,https://space.bilibili.com/312098823,致力于把所有粉丝都培养成文化流氓 <(￣︶￣)>,2021-12-15 21:00:24
171,CNtei,中国性学会,性学,B站,https://space.bilibili.com/661849085,努力做站内最科学最有趣的性医学科普！,2021-12-15 21:02:53
172,CNtei,阪神电车,自体心理学,B站,https://space.bilibili.com/527581294,自体心理学解读,2021-12-15 21:06:07
173,CNtei,中国国家地理,地理/动植物,B站,https://space.bilibili.com/2000819931,让“想当科学家”重新变成大家的梦想，《中国国家地理》杂志社官方账号,2021-12-15 21:10:23
174,CNtei,_源姨_,情感,B站,https://space.bilibili.com/207702731,喜欢探究人心和人性,2021-12-15 21:11:14
175,CNtei,梁永安,社会,B站,https://space.bilibili.com/699492406,热爱大地，复旦大学中文系教授,2021-12-15 21:12:27
176,CNtei,我孙子飞鱼,日麻,B站,https://space.bilibili.com/2899425,日本麻将教学,2021-12-15 21:15:44
177,CNtei,心理学家Tracey,心理,B站,https://space.bilibili.com/689271931,你们好，我是特蕾西博士，精神科医生，从事心理健康教育,2021-12-15 21:17:55
178,CNtei,兔叭咯,医学/健康,B站,https://space.bilibili.com/7788379,bilibili 2020百大UP主、知名UP主,2021-12-15 21:19:23
179,CNtei,Arinor,哲学,B站,https://space.bilibili.com/88784,是做哲学普及视频的正在怠惰地学画画以及论文发不出去的小说写手~o(*￣▽￣*)ブ,2021-12-15 21:20:17
180,CNtei,DD第二代,性教育,B站,https://space.bilibili.com/390244162,我的梦想是，至少(首先)得让全中国几千万性少数群体，每个人都看过我的视频！,2021-12-15 21:21:36
181,CNtei,丁香医生,健康,B站,https://space.bilibili.com/15982391,有趣的「人体调查组」、感人的「亲历者说」、有态度的「丁香较真」，再加上时不时更新的「漫漫说」和「了不起的医生」，我想总有一个栏目你会喜欢！,2021-12-15 21:23:43
182,CNtei,这知识好冷,冷知识,B站,https://space.bilibili.com/403943112,bilibili 知名科普UP主,2021-12-15 21:25:27
183,CNtei,世界卫生组织,卫生,B站,https://space.bilibili.com/500367550,世界卫生组织（World Health Organization，简称世卫组织或WHO）,2021-12-15 21:26:32
184,CNtei,WhatOnEarth一探究竟,科普,B站,https://space.bilibili.com/410527811,有趣知识，文化故事，科技解释，尽在【一探究竟】,2021-12-15 21:27:45
185,CNtei,柴知道,科普,B站,https://space.bilibili.com/26798384,好看不火的UP主柴柴,2021-12-15 21:28:56
186,CNtei,秋山燿平,日语,B站,https://space.bilibili.com/229740315,会说10种语言东京大学，曾出演秋刀鱼的东大方程式,2021-12-15 21:30:02
187,CNtei,夹性芝士,性教育,B站,https://space.bilibili.com/326081112,去你的野生X教育，是时候认真谈X了！,2021-12-15 21:31:15
188,CNtei,Psych2go中文站,心理,B站,https://space.bilibili.com/203230674,在知行合一的路上共勉 (ง •̀o•́)ง,2021-12-15 21:33:10
189,CNtei,果壳,科普,B站,https://space.bilibili.com/205631797,果壳网官方账号,2021-12-15 21:35:02
190,CNtei,3Blue1Brown,数学,B站,https://space.bilibili.com/88461692/,深入浅出、直观明了地分享数学之美,2021-12-15 21:35:59
191,并不像当学霸的学霸,沙包_Chilli,二次元绘画基础,B站,https://space.bilibili.com/301570,,2021-12-15 21:36:08
192,CNtei,Solara570,数学,B站,https://space.bilibili.com/3557916,3Blue1Brown翻译团队成员，频道现主攻原创,2021-12-15 21:37:38
193,CNtei,备胎说车,汽车,B站,https://space.bilibili.com/50063223,比喻狂魔 论文说车,2021-12-15 21:39:58
194,并不像当学霸的学霸,夹性芝士,性知识科普,B站,https://space.bilibili.com/326081112,,2021-12-15 21:42:21
195,CNtei,林林Eileen,心理/生物/性教育,B站,https://space.bilibili.com/14803693,bilibili 知名科普UP主,2021-12-15 21:43:17
196,CNtei,杰里米JeremyEthier,健身,B站,https://space.bilibili.com/1026087701,科学健身博主,2021-12-15 21:44:13
197,CNtei,森纳映画,游戏/军事,B站,https://space.bilibili.com/1724598,向真理和自由，无名的献身。《不止游戏》系列节目作者,2021-12-15 21:47:37
198,CNtei,柳行长,金融,B站,https://space.bilibili.com/23326926,抬杠区UP主，气人up主,2021-12-15 21:49:13
199,CNtei,视知,科普,B站,https://space.bilibili.com/40277880,理解复杂世界,2021-12-15 21:58:04
200,Sam老师,小榮君,英语学习,B站,https://space.bilibili.com/385183602,通过美剧学英语，事半功倍。up主视频制作精良，便于观看和学习。,2021-12-16 07:32:11
201,t w l s h r,_碳十二_,科普,b站,,,2021-12-16 11:48:54
202,djxzmg,up,好玩儿,b站,,,2021-12-16 12:33:46
203,24爵,肝帝董佳宁,杂谈,B站,,知识类别丰富，涉及时政、历史、人文、军事等等领域，观点独到，轻松幽默,2021-12-16 17:16:59
204,24爵,有轶见的Kris,杂谈,B站,,知识类别多，时政、历史、人文、军事、情感，观点清奇，角度刁钻,2021-12-16 17:20:01
205,341028075,高盛元,诗词,B站,,讲的超级好，耳熟能详的唐诗其实别有洞天，不愧是经典诗词,2021-12-16 17:39:02
206,24爵,小约翰可汗,历史事件和人物,B站,,另类角度解读历史事件和人物，保证让你捧腹,2021-12-16 17:48:20
207,刘露文,沈逸老师,政治，国际关系,B站,https://b23.tv/O61Qcxy,特别特别厉害的一个老师，我对政治中美关系一点都没兴趣，但是每次沈逸老师的视频都会看，特别有趣,2021-12-16 17:51:24
208,HDBLMM,冷静医夏,中医科普,B站,UID：492830117,科普中医知识，风格有趣可爱，讲的通俗易懂,2021-12-16 19:25:35
209,于阳阳阳阳,思维实验室,杂系知识区up主,B站,https://space.bilibili.com/14583962,从历史到科技，从宗教到人体，不一样的知识让人眼前一亮,2021-12-16 19:41:07
210,于阳阳阳阳,心医林霖,知识区,B站,https://space.bilibili.com/492808243,缓存区UP，强烈推荐，知识涉及到各个方面,2021-12-16 19:47:11
211,南初Nancy,学生化的秃哥哥,生物化学,B站,https://space.bilibili.com/358012574/?share_session_id=0231FF65-0969-4E99-8F49-BE0EF4226DBF&share_source=copy_link&share_medium=ipad&bbid=YA4AEAA4FC3570984B6C82C56CA618B5A811&ts=1639749742,真的是一个宝藏博主 感觉很细心而且课程还挺有趣并且免费啊！！！,2021-12-16 22:03:00
212,UID:1294084223,碳十二,知识,b站,,,2021-12-17 00:35:04
213,UID:316426019,PlutoRsy,国漫混剪剪辑,b站,【PlutoRsy的个人空间-哔哩哔哩】 https://b23.tv/hQozsds,分享幸运，分享快乐，自由剪刀手,2021-12-17 09:28:22
214,榫卯先生,GenJi是真想教会你,软件,哔哩哔哩,https://space.bilibili.com/49746395?from=search&seid=2184261218500216534&spm_id_from=333.337.0.0,,2021-12-17 14:43:53
215,翎羽灬赟丿233,元子弹吉他,吉他,B站,https://space.bilibili.com/326251291/?spm_id_from=333.999.0.0,学习吉他可以去了解元子老师，真的挺好的。,2021-12-17 17:31:28
216,了溪,漳州阿沈,中国古建筑,B站,https://space.bilibili.com/590514353,讲述中国古建筑具体形制、部件等等非常优秀的老师，内容汇集了多本相关领域的书籍、论文，相关专业、和对古建筑感兴趣的朋友都可以看看,2021-12-17 18:39:25
217,光脉之酒,茂的模,物理/影视鉴赏,B站,https://space.bilibili.com/485256303,B站知名催眠区up主。高能物理，凝聚态物理，大统一之路，科幻小说，影视鉴赏。,2021-12-17 20:06:19
218,光脉之酒,爱看报的Kris,生物医学,B站,https://space.bilibili.com/405504949,女装大佬，在美生物医学博士留学生，癌症、衰老领域大佬。（注：up主推荐区还有一个”有轶见的Kris“，请让他们在表格中相邻）,2021-12-17 20:14:57
219,张豪豪,_碳十二_,科普,b站,,,2021-12-17 20:22:06
220,光脉之酒,我们这颗星球OurPlanet,地理/人文/历史,B站,https://space.bilibili.com/1705324032,从环太平洋开始的环球之旅，见证最早的航海家将海洋文明的种子散布到整个太平洋的故事。,2021-12-17 20:23:53
221,光脉之酒,安森垚,人文/地理/历史,B站,https://space.bilibili.com/11498155,语速非常快，谣言粉碎者，自诩知识贩子，会很多门语言。,2021-12-17 20:29:41
222,光脉之酒,爬行天下,爬行动物,B站,https://space.bilibili.com/35853609,楼主，爬行动物爱好者，致力于科普和保护爬行动物。,2021-12-17 20:33:55
223,光脉之酒,萝王2号,生物/昆虫,B站,https://space.bilibili.com/11264229,昆虫学研究者，节肢动物和爬宠饲养者，讲述昆虫和自然的故事。,2021-12-17 20:37:11
224,光脉之酒,动物学博士陈睿,动物/琥珀,B站,https://space.bilibili.com/523668635,狐主任大学同学，动物学博士，琥珀研究者，收藏了很多稀有、漂亮的琥珀。,2021-12-17 20:41:16
225,光脉之酒,梦想自救指南,天文/物理,B站,https://space.bilibili.com/1663234886,这个up主制作的互动视频都是精品，可以反复观看、体验，给人的感觉就像是在玩游戏。,2021-12-17 20:45:19
226,光脉之酒,氕氘氚Star,天文,B站,https://space.bilibili.com/35970601,天文摄影爱好者，科普各种天文现象。,2021-12-17 20:48:27
227,光脉之酒,酋知鱼,生物/物理/人文,B站,https://space.bilibili.com/356399722,一条在知识的海洋中溺水的鱼，从多元视角来探索世界，很有启发性。（注：转场BGM很魔性）,2021-12-17 20:54:46
228,光脉之酒,世界记忆大师龙雅,动物/蛇类,B站,https://space.bilibili.com/25126508,”这是我们的老朋友黑眉锦蛇“，”都是瞎编的数据“，“保持敬畏之心，看见蛇要远离”,2021-12-17 20:58:33
229,光脉之酒,小灰灰大人,动物/鸟类,B站,https://space.bilibili.com/362831543,“一个臭讲动物的，up主许下宏愿要做出全网最有价值的动物科普频道，感谢有你一起见证！”,2021-12-17 21:00:58
230,光脉之酒,钱丢丢-,历史/神话,B站,https://space.bilibili.com/12820125,“笑谈天下惊鬼神，指点江山奇古今。你好，我是钱丢丢，一个古先贤文明神话的讲述者。”,2021-12-17 21:03:28
231,光脉之酒,艾栗夏,天文/人文/宇宙,B站,https://space.bilibili.com/670400594,一个非常有潜力的up主，每一个视频都能让人感受到倾注其中的细腻情感与奇思，把人文和科学用一种类似通感的方式有机地结合在一起，形成了一种独特的风格。（注：2022年up主表示会全职，期待她能做出更多优秀的作品）,2021-12-17 21:18:48
232,光脉之酒,萌萌战队,物理,B站,https://space.bilibili.com/357669580,激流区up主，用营销号的声音让营销号无路可走，留言终结者，“萌萌战队”这个名称和硬核的内容形成反差萌。（注：据说这个账号背后是一个神秘的团队）,2021-12-17 21:23:44
233,光脉之酒,大门ZRR,文学/评论,B站,https://space.bilibili.com/700380991,“不专业，不客观，不中立，不跪舔”，嬉笑怒骂，评论小说。有潜力在知识区开辟一个新的专区。,2021-12-17 21:29:27
234,光脉之酒,专心种花兔,历史/军事/地理,B站,https://space.bilibili.com/451196839,纸上谈兵区up主，致力于将历史上破碎的帝国在当今重新整合，不论如何，都仅次于“大毛”,2021-12-17 21:33:00
235,光脉之酒,季绝学,时政,B站,https://space.bilibili.com/17066854,一盏茶的时间告诉你今天地球上发生了啥，看看历史上的明天发生了啥。,2021-12-17 21:36:45
236,MiaoCunFa,周观鱼UP,书画鉴赏、古文解析,B站,https://space.bilibili.com/287467607,老师的古文知识非常的精深,2021-12-17 21:46:02
237,1992_1989,小透明明TM,有用的,B站,https://space.bilibili.com/192090,,2021-12-17 22:16:37
238,逆时空军,学过石油的语文老师,高中,B站,https://b23.tv/2UwRvtX,在这里你可以学到最快乐的语文课,2021-12-18 00:58:52
239,于笙,k大,绘画,b站,,,2021-12-18 02:23:21
240,一入辕门深四海,韩顺平,编程,B站,https://www.bilibili.com/video/BV1fh411y7R8?spm_id_from=333.999.0.0,无论是编程小白还是初级开发都非常适用,2021-12-18 08:38:17
241,粉色的雪落下,草说木言,历史,b站,https://space.bilibili.com/477433087,很专业，唯物史观，内容做的非常好。,2021-12-18 09:16:12
242,悟昼,一数,高中数学（从零开始基础课程）,B站,https://www.bilibili.com/video/BV147411K7xu?share_source=copy_web,极其适合数学基础需要巩固的同学。虽然很难听，但是把人当傻子的课有时才符合需求。,2021-12-18 10:20:40
243,641575787,懋修,金融,bilibili,,,2021-12-18 10:48:30
244,桃良,果木浪子,吉他弹唱,B站,,适合初学者入门,2021-12-18 11:47:55
245,嗯,程十安,美妆,小红书，抖音，哔哩哔哩,,看就对了,2021-12-18 12:52:09
246,blue-area,孙兴华zz,数据分析,B站,https://space.bilibili.com/437239552,孙兴华大佬是一位秉承着开源精神的数据分析师，他会用通俗易懂的语言讲解从VBA到python一系列数据分析和办公自动化的课程，包括MySQL、PowerBI、Access这类“奇技淫巧”他都会，像一个全能的数据分析战士，希望各位好好珍惜这位大佬！,2021-12-18 13:53:49
247,Jimmy,b站,b站,b站,b站,b站,2021-12-18 19:15:46
248,bili_2056689,xgkyokou,医学临床科研数据分析,B站,https://space.bilibili.com/21783065/video,医学临床数据分析及队列研究，临床课题研究思路提供及发掘,2021-12-18 19:26:25
249,四叶草,大连老师王博文,评论年轻人常遇到的社会现象,B站,,,2021-12-18 19:35:00
250,Fantasy,新像素,UI设计,B站,https://space.bilibili.com/389903587?from=search&seid=609638191591810790&spm_id_from=333.337.0.0,国内少数几个免费公开高质量的Figma教学视频，且会经常更新。同时也可关注老师的个人号：草帽sMao，也有不少干货分享。,2021-12-18 19:39:54
251,薄雾丷,宝剑侍从,小说写作技能,B站,https://space.bilibili.com/475449945/video,,2021-12-18 19:56:50
252,123,up,科普,up,,,2021-12-18 20:27:37
253,我以诗心化我心,Free高考英语,高考英语,B站,https://space.bilibili.com/2742391,高中英语跟他就完了，新东方名师，18年高考英语教龄。课程适合所有学生。关键是老师还非常关心同学。,2021-12-18 21:03:29
254,我以诗心化我心,杨一呦,教育学&社会&心理,B站,https://space.bilibili.com/511582432,老师讲课非常温柔，还可以学到一些为人处世的道理，适合放松。,2021-12-18 21:07:45
255,过柱大王,碳十二,知识,bilibili,,很棒的分享,2021-12-18 21:53:27
256,47321330668_bili,思维实验室,科普、历史、生物,哔哩哔哩,,,2021-12-18 22:39:05
257,47321330668_bili,眼见为实,科普,哔哩哔哩,,,2021-12-18 22:41:49
258,liang_nice,冰零-Mahiru忠诚眷属,乐理,b站,https://space.bilibili.com/8522090/channel/collectiondetail?sid=7376&ctype=0,一百秒乐理系列，用音乐加上注解，让你懂得如果使用更多的和声进行，拓宽音乐想象,2021-12-18 22:42:30
259,47321330668_bili,灰细胞,科普生物学知识,哔哩哔哩,,有些（很多）视频看会脸红☺,2021-12-18 22:43:30
260,47321330668_bili,吟游诗人基德,科普生物学、地理学、金融等等类别,哔哩哔哩,,,2021-12-18 22:45:12
261,47321330668_bili,画渣花小烙,科普,哔哩哔哩,,,2021-12-18 22:46:21
262,47321330668_bili,小宇Boi,科普搞机,哔哩哔哩,,,2021-12-18 22:47:00
263,liang_nice,蝙蝠音乐,音乐,b站,https://space.bilibili.com/18387300/,midi音乐制作与效果器方面的使用，还有很多编曲软件的教学，同时还有很多国外熟肉视频,2021-12-18 22:49:57
264,liang_nice,鹦鹉咖,乐理，编曲,b站,https://space.bilibili.com/75901514/channel/series,编曲与乐理方面的教程，很专业,2021-12-18 22:53:16
265,ly6170,GC伊格尼斯,音乐,B站,https://space.bilibili.com/68048227,良心up主，就是会拖更，开车，车速较快,2021-12-18 22:55:18
266,liang_nice,AnProphet,音乐,b站,https://space.bilibili.com/291019266/video,编管弦乐教学,2021-12-18 22:56:32
267,落叶,唠点历史,中外历史,B站,,都是干货，讲的很好,2021-12-19 00:05:34
268,metaphysica,郭爷物理,高中物理竞赛/大学物理,B站,https://space.bilibili.com/149335520/,物理讲得十分生动清晰的一位老师，无论是学高考物理还是物理竞赛、甚至大学物理，都可以听他的课。,2021-12-19 00:34:34
269,樱桃小伙子,碳十二,知识,b.站,,,2021-12-19 02:00:56
270,猫妖十二,于赓哲老师,历史,B站,https://www.bilibili.com/video/BV1qf4y1a7JQ?share_source=copy_web,,2021-12-19 07:29:44
271,猫妖十二,没脸鉴人,历史,B站,https://www.bilibili.com/video/BV19Z4y1X7X2?share_source=copy_web,历史辟谣,2021-12-19 07:31:54
272,猫妖十二,谜一样的剪辑师,剪辑,B站,https://www.bilibili.com/video/BV1Ki4y187di?share_source=copy_web,你想学剪辑吗？这是一名专业的剪辑师,2021-12-19 07:33:46
273,年七am,tengusan,摄影/艺术/审美,B站,,来看看真正的“摄影”是什么样子,2021-12-19 09:23:41
274,志承233,玩艺术的吴雅琳,中国美术,B站,https://space.bilibili.com/637679816/?spm_id_from=333.999.0.0,广州美术学院教授、美院中国传统雕塑研究所、数码雕塑中心创始人。文人诗书画家。从艺术审美角度和大家探讨东西方雕塑～,2021-12-19 09:42:50
275,欣怡,秋雾雾,科普,B站,https://docs.qq.com/sheet/DRU5MWHZCTHFGQnhM?tab=qb1sze,很好,2021-12-19 10:49:18
276,花栗鼠de,鹿哥来了-,古典音乐科普,B站,,浅显易懂，生动有趣，但是鹿哥已经快一年没更新了,2021-12-19 15:09:23
277,心之所向,谜一样的剪辑师,剪辑入门及高阶技巧,新片场，B站,https://space.bilibili.com/2766539?from=search&seid=5035417321604679235&spm_id_from=333.337.0.0,董北老师是很厉害的剪辑老师，并且做一些入门基础课程，无论剪辑技巧高低都可以了解一下。,2021-12-19 15:30:32
278,欧文阿,碳十二,科普,B站,,,2021-12-19 15:38:09
279,Y,碳十二,都可以,b站,,,2021-12-19 15:55:40
280,阿威不会武功,老龙山下的狐狸,科普,B站,https://space.bilibili.com/98694531/?spm_id_from=333.999.0.0,懂得越多，未解之谜越少,2021-12-19 15:58:15
281,穗花婆婆,一钵盆景,盆景,B站,,UP主主要讲述的是盆景的制作,2021-12-19 17:05:40
282,怎样起一个名字呢,王骁Albert,政治/国际关系,B站,https://space.bilibili.com/52165725?from=search&seid=15363566674119064786&spm_id_from=333.337.0.0,由于和观察者网有合约，2021年没有更新，不过明年就会复出了。他的《骁话一下》真的很好看，播放量也很高,2021-12-19 17:26:30
283,怎样起一个名字呢,马督工,社科人文/时政,无课程,https://space.bilibili.com/316568752?from=search&seid=15238967665062591149&spm_id_from=333.337.0.0,这个人（或者说这个团队）争议很大，不过我还是推荐一下，他对于时政要闻的点评与分析，不能说一定正确，但是观点通常很新颖，可作参考（他没有课程）,2021-12-19 17:30:23
284,black_xiu,老K的无聊杂谈,科普类up,B站,https://space.bilibili.com/2066911559,"主要讲中国自建国以来的几场工业,科技,经济领域的崛起,能让人看的热血沸腾",2021-12-19 18:15:57
285,密斯特Li,唠点历史,历史,B站,https://space.bilibili.com/10698584/,长视频的历史up主内容优质,2021-12-19 21:49:48
286,张,1,3,4,5,6,2021-12-19 22:49:19
287,编剧不要写死我啊,机械百宝箱,机械制图 soildworks零件图学习,B站,https://www.bilibili.com/video/BV1df4y1z7iR?p=26,在会soildworks一些基础后缺乏图纸的绘画，可参考学习，并附带作图过程,2021-12-19 23:15:26
288,谢金方和,王木头学科学,神经网络与深度学习,B站,https://space.bilibili.com/504715181/video,王木头以一个初学者的视角对神经网络的基本概念，工作模式与原理进行了深度的剖析与讲解，不仅传授神经网络的知识，更传授了如何接受新的，抽象的，难理解的知识，如何搭建知识体系。,2021-12-19 23:49:53
289,亦辰lemon,树林同学-,高考 大学成长 心理学,B站,https://space.bilibili.com/373103803,强烈推荐！关注树林学长两年多了，最开始是从知乎过来的。树林学长是一个不可多得的宝藏UP主，尤其针对高三党和大学生最系统的学习方法论和心理成长认知都在这里喔。欢迎大家成为“地瓜”们的一员，在树成林与万木行里面，有许多优秀的uu与你一起共同成长。,2021-12-20 00:48:36
290,多折脑褶,蔻享学术,科普,b站、APP,https://space.bilibili.com/518715663,全科学术分享，APP内含各个报告会直播，产学研，此up在b站建设目前不完善,2021-12-20 01:43:33
291,多折脑褶,听君一席课,科普,b站,https://space.bilibili.com/36234806/?spm_id_from=333.999.0.0,国内外大学课程分享,2021-12-20 01:58:18
292,多折脑摺,大象放映室,影视,b站,https://space.bilibili.com/49246269/?spm_id_from=333.999.0.0,影视作品深入解读，其中《激荡四十年》系列，以国内四十年发展为蓝本，讲述深刻,2021-12-20 02:03:43
