index,推荐人ID,推荐书籍名称,书籍作者,推荐语,推荐日期
402,敬吱,编码的奥秘（Code: The Hidden Language of Computer Hardware and Software）,Charles Petzold（汉化版本是：机械工业出版社）,这本书虽然距出版已经过去20多年，但是把计算机CPU等硬件的工作原理通俗易懂地表达给读者，对于计算机或者集成电路的初学者来说强烈建议看这本书，会有醍醐灌顶地感觉。这本书也适合非专业地人看，语言通俗易懂，可以当作科普读物。如果有能力建议直接看英文不要看汉化版本，汉化有一些翻译错误导致阅读体验不是很好。关键词：计算机；集成电路；数字电路,2021-12-18 20:12:02
403,变通为易,千亿个太阳,鲁道夫·基彭哈恩,这本书描述了人们对恒星漫长已生的认识，特别是恒星在能源耗尽后如何演变的问题（太阳如何诞生、演变为白矮星中子星甚至黑洞）。它是一场关于天文知识的饕餮盛宴，让人回味无穷。,2021-12-18 20:37:20
404,莫愁,天堂旅行团,张嘉佳,从悲伤到治愈,2021-12-18 21:18:05
405,莫愁,文城,余华,一本能让人在这纷乱嘈杂的社会安静下来思考人生意义的书籍,2021-12-18 21:20:14
406,会思考的鱼0459,周易译注,黄寿祺 张善文,易经是中华文化的起源，也是中国古代智慧的结晶，老子，孔子的思想都源于此。,2021-12-18 21:20:47
407,卖糖术神,普通昆虫学,许再福,农学类的专业书太少了，这里推荐一本昆虫学，比较详细的科普了昆虫的各个构造分类地位之类的，身边不是农学的朋友也很感兴趣，相信不用考试了解起来一定也会更有趣qwq。,2021-12-18 22:44:20
408,卖糖术神,植物学,强胜,农学专业书籍，但是也非常适合普通人阅读，科普了解植物形态分类等，向小亮看齐，以后去植物园或者博物馆再也不怕闲逛啦~,2021-12-18 22:52:33
409,Zebedee,能力陷阱,【美】埃米尼亚•伊贝拉,在你作为一个只懂得一个技能并为之工作的打工人时，如果你对你的打工之路，或者自己所处行业有所迷茫，或觉得未来不可期时，可以看看这本书。这本书或许可以帮你寻找到一个新的方向。,2021-12-18 22:56:36
410,雄关再越,资本论,卡尔·马克思,武装我们的思想，共产主义一定会实现,2021-12-19 00:22:26
411,佚名,《人性的，太人性的》,弗里德里希·尼采,每当对自己产生质疑，对生活开始迷茫，看一下都会有不同的感悟，追求本心的路上太需要这样一个知己。,2021-12-19 09:21:32
412,9527,心灵侦探城塚翡翠,相泽沙呼,一般,2021-12-19 13:05:16
413,Gandaove,《围城》,钱钟书,刚刚看完第二遍，依然有新的感触,2021-12-19 14:54:51
414,Gandaove,《悲惨世界》,维克多·雨果,大文豪的著作~,2021-12-19 14:57:52
415,花栗鼠de,质的研究方法与社会科学研究,陈向明,有理论（一、五、六部分）有实践（其它部分）,2021-12-19 15:12:40
416,花栗鼠de,概念界定：关于测量、个案和理论的讨论,加里·戈茨,概念界定的三个层次（基本层、构成层、指标层）。对我们写论文概念界定有帮助。,2021-12-19 15:16:57
417,斯内德来得及,活着,余华,生活的酸辛,2021-12-19 15:19:42
418,修理工吴彦祖,是，大臣,乔纳森·林恩、安东尼·杰伊 编著 王艺 翻译,从一本书中看出英国乃至整个西方的政治体制,2021-12-19 15:57:34
419,波动方程W,线性代数的几何意义,任广千,非常有助于理解线性代数究竟是什么,2021-12-19 15:58:10
420,波动方程W,半导体物理学,张宝林,这本书吉大自出版，相比于刘恩科的书将物理过程讲解的更加详细,2021-12-19 15:59:52
421,怎样起一个名字呢,货币、权利与人,翟东升,不同于现有主流西方经济学理论，这本书根据我国的经济发展实践经验，拓展了传统马克思主义经济理论而提出了民本主义政治经济学，并对国际货币体系、债务、汇率等相关问题进行阐述，我觉得对经济金融专业的学生有一定参考,2021-12-19 16:27:26
422,怎样起一个名字呢,我所理解的流体力学,王洪伟,首先，较一般的大学教材印刷不错（彩印）；其次，这本书尽可能从学生的角度教授流体力学，物理图像构建非常清晰，有一定量的公式而不失严谨性,2021-12-19 16:32:00
423,怎样起一个名字呢,另一半中国史,高洪雷,我们中学教科书的历史教学，对于中国史部分主要以汉族的视角阐述，这本书可以让我们详尽了解我国历代及当代少数民族的历史，以及我国历史和国外历史的联系,2021-12-19 16:34:11
424,怎样起一个名字呢,数学女孩系列,结城浩（日）,这是一本数学小说，以故事的形式展开对数学问题的探讨，故事发生在高中，几个同学围绕数学发生的一系列故事，“在动人的故事中走进数学，在青春的浪漫中理解数学”,2021-12-19 16:36:44
425,怎样起一个名字呢,理论最小值：经典力学,莱昂纳德·萨斯坎德（美），乔治·拉保夫斯基（美）,b站如果有学习物理学的学生，学习理论力学/经典力学的时候可以参照这本书，相当于入门，有助于对理论力学基本概念如拉格朗日方程、泊松括号等加深理解,2021-12-19 16:42:08
426,不次又的婷婷,《一口气就能读完的大汉史》,张晓珉,诙谐幽默的解读大汉帝国，了解我们所不知道的历史,2021-12-19 16:43:47
427,怎样起一个名字呢,一分钟物理,中科院物理所,我所知已经出到第二辑，是根据中科院物理所公众号内容进行整理的，以问答的形式对生活中各种物理现象进行简单阐述，语言生动有趣，通俗易懂。如果有“老师不教、父母不会、不问憋得慌”的问题，可以从这本书中找到答案,2021-12-19 16:45:43
428,怎样起一个名字呢,神逻辑：不讲道理的人怎么会有理！,阿里·阿莫萨维（美）,“专治奇葩，专治杠精，专治键盘侠”，很薄的一本小书，但可以纠正生活中大部分逻辑谬误，而且是以绘图的方式，生动有趣，强烈推荐,2021-12-19 16:52:51
429,怎样起一个名字呢,后真相时代,赫克托·麦克唐纳（英）,网络上每一次大瓜爆料，每一次反转，大多数人观点总会被带偏。在这个数据大爆炸时代，铺天盖地的信息让我们很难看清事物的真相，也容易被情绪化调动。这本书可以让我们冷静思考、分析网络上发生的事，拒绝随波逐流,2021-12-19 16:58:40
430,DJohn（sociology）,学术与政治,【德】马克思·韦伯,这本书是《以学术为业》以及《以政治为业》两篇韦伯在德国一战前后所做的演讲，分别阐述了价值中立与责任伦理两方面的做学术与为政治的要求，寄予整个德国民族未来的殷切的期望。当然演讲风格非常冷峻，有一定的阅读要求，是社会学三大家中韦伯的入门之作。,2021-12-19 19:34:23
431,手可摘棉花嗷,蛤蟆医生去看心理医生,罗伯特 戴博德,很有感触,2021-12-19 19:39:53
432,怎样起一个名字呢,那些年你没学明白的数学——攻读研究生必知必会的数学,托马斯·A·加里蒂（美）,攻读研究生需要很多数学知识，有一些本科阶段不一定能学到，而阅读相关数学专著又太费时间且不一定能读懂。这本书涵盖了各个专业研究生一般涉及到的数学知识，可根据自己需要选择性阅读,2021-12-19 19:42:28
433,怎样起一个名字呢,Fortran程序设计（第四版）,Stephen J. Chapman,汉语版由中国电力出版社出版。这本书关于Fortran编程是基于Fortran2008/15版本的，涵盖了Fortran编程的基本知识和最新版本的编程建议，以及较早版本的一些Fortran特性的说明，内容很全,2021-12-19 19:46:54
434,蓝小鱼,罗马人的故事,盐野七生（日）,看完之后想要看关于罗马的所有书，浅显易懂。当你对罗马几乎几乎一无所知的时候，当你想要了解西方文明起源的时候，当你想找找这个历史上英雄的时候，或者就是没有书看的时候，强烈推荐这本书。这本书作者因此书而获得了意大利国家勋章，这是一套系列书，总共15册，就是像看小说一样，完全不觉得长，真的强烈推荐！！！,2021-12-19 19:53:53
435,无才,四库全书总目,纪昀 等,本书为中国目录学的集大成之作，可引导读者对中国文史哲学科的学习，扫清迷惘,2021-12-19 22:49:01
436,NiChang,《红星照耀中国》,埃德加·斯诺（美）,本书以一个外国记者身份来向读者描绘他在中国西北革命根据地（以延安为中心的陕甘宁边区）进行实地采访的所见所闻，向全世界真实报道了中国共产党和中国工农红军以及许多红军领袖、红军将领的情况。,2021-12-19 22:52:43
437,么殇乐,2021.11.26《巨流河》,【著】齐邦媛,"出版社：生活·读书·新知三联书店
看到三联书店似乎就是质量的保证。作者经历过抗战，从内陆到台湾，她是那个跌宕年代的读书人。语言用词朴实精炼，让我联想到的的是老舍“语言大师”的笔调。从摘录被吸引到被经历打动，无论什么时候拿起都不过时。这本书写的是一个并未远去的时代，关于两代人从巨流河到哑口海的故事。",2021-12-20 01:28:50
438,么殇乐,《夜晚的潜水艇》,陈春成,美得像散文一样的短篇小说，离奇怪诞，但又是一个闭环，文字畅快地在故事里逃窜。,2021-12-20 01:31:42
439,么殇乐,《蛤蟆先生去看心理医生》,【英】罗伯特·戴博德,"出版社：天津出版传媒集团
以童话的形式展现了一只迷失自我的蛤蟆就诊心理医生的故事。",2021-12-20 01:33:52
440,么殇乐,《沙盘游戏疗法手册》,"【美】Barbara A. Turner
【译】陈莹 姚晓东",对心理沙盘治疗感兴趣都可以看。有实例介绍，即使没有过多专业知识也可以了解。,2021-12-20 01:39:33
441,么殇乐,《给孩子的散文诗》,编者：李陀、北岛,"出版社：中信出版社
微信阅读可以免费阅读。收集了非常多作家的散文，有取其精华之意，可以管中窥豹感受不同作家的文字魅力。不只孩子可以看哦~~~",2021-12-20 01:44:26
442,油炸春卷,活着,余华,活着就好,2021-12-20 08:27:30
443,玄木,《百年孤独》,加西亚·马尔克斯,人类的本质是孤独的，《百年孤独》再现了拉丁美洲历史社会图景的鸿篇巨著,2021-12-20 09:16:25
444,玄木,《等待戈多》,塞缪尔·贝克特,《等待戈多》表现的是一个“什么也没有发生，谁也没有来，谁也没有去’’的悲剧。作品着重表现人的心态、心理活动过程以及人的心理活动障碍。,2021-12-20 09:18:41
445,玄木,《雪国》,川端康成,雪国》是川端康成最高代表作，其间描绘的虚无之美、洁净之美与悲哀之美达到极致，令人怦然心动，又惆怅不已。作品中唯美的意象描写融入至人物情感的表达之中，往往带着淡淡的哀思，表现了川端康成的物哀思想。,2021-12-20 09:44:23
446,埋,狼图腾,姜戎,一部因狼而起的关于游牧民族生存哲学重新认识的大书，虽然与实际有所出入，但是作为一部小说，是值得去读的。,2021-12-20 11:24:40
447,衣贰叁肆,狂人日记,鲁迅,封建社会的黑暗揭露的淋漓尽致，每句话都蕴含深意。每每读这本书，都会感到落后社会的可怕，却也能体会到鲁迅的斗争与不甘。,2021-12-20 12:57:00
448,阿瓦蒂,洞穴奇案,萨伯,针对同一个案子，十四名法官的看法都不相同，但是每一个人的看法都能说服你，并且让你挑不出他的毛病,2021-12-20 17:10:11
449,千戸ちゃん,源氏物語,[日] 紫式部,世界上最早的长篇写实小说，以日本历史上的平安时代为背景，描绘了贵族们歌舞升平的生活和权力斗争，以及腐败的贵族政治，反映了日本平安时代的真实面貌。具有极高的思想性和艺术性,2021-12-20 17:17:17
450,难道 0,《中国文脉》,余秋雨,用精炼的文字、中短的篇幅，梳理出中华文脉的厚重感。普通人也可无障碍阅读。,2021-12-20 17:58:25
451,大聪明,lool,lool,lool,2021-12-20 18:15:06
452,怀瑟雅川,《英语词根与单词的说文解字》,李平武,搞清单词的前世今生，帮你高效背单词、猜单词。,2021-12-21 01:02:42
453,怀瑟雅川,《英语词缀与英语派生词》,李平武,搞清单词的前世今生，帮你高效背单词、猜单词。,2021-12-21 01:03:31
454,a,a,a,a,2021-12-21 06:14:28
455,砚微,《真幌站前三部曲》,（日）三浦紫苑,笔调非常温暖的一本小说，不论是描写方法还是情节，都让人感到轻快开心,2021-12-21 14:21:11
456,砚微,《写作是门手艺》,刘军强,”不写，此书无用；少写，此书有点用；多写，此书真有用“,2021-12-21 14:26:48
457,砚微,《遥远的向日葵地》,李娟,饱含着对大自然的敬畏和对生活的热爱，唤醒儿时温馨的记忆,2021-12-21 14:29:17
458,砚微,《在细雨中呼喊》,余华,细雨中呼喊未必能抚平伤痛,2021-12-21 14:31:40
459,汉远,苦难辉煌,金一南,是我看过最好的书之一,2021-12-21 17:34:25
460,辛有余,《自信的陷阱》,路斯·哈里斯,"因为某些原因，我一直都很不自信，读此书之后，加以练习，改善了不少
为了让自己自信，读过几本相关书籍，亲测之后，可以肯定的说，有本书足矣",2021-12-22 00:02:04
461,白日梦想家,《小强升职记》,邹鑫,名字很俗，内容主要是时间管理，以幽默对话和场景带入的形式讲述了职场，生活，学习中的时间规划问题，以及背后的原理，我参加工作之后一段时间偶然看到，恍然大悟，有种醍醐灌顶的感觉。对于刚刚进入职场的同学，和日常计划一堆，实际拖拉的同学非常推荐反复阅读,2021-12-23 11:40:41
462,zh666,正念的奇迹,一行禅师,佛学大师来教导我们如何在繁乱的信息时代保持向上的动力和专心致志的能力，并不是传播宗教，而是静心的方法,2021-12-23 18:15:34
463,波多野结衣,1,1,1,2021-12-23 23:12:56
464,Za,别让阳光照到我,王锐坚,它是我社会生活启蒙的第一本读物，很推荐大家去看一下。,2021-12-24 13:59:58
465,半仙儿,巨人的陨落,肯·福莱特,巨人的陨落，时代的陨落，阶级的陨落，旧思想的陨落,2021-12-24 19:45:09
466,半仙儿,克莱因壶,冈岛二人,庄周梦蝶还是蝶梦庄周,2021-12-24 19:46:39
467,江破空,图表示学习,Willian Hamilton著， AI TIME 译,最新的图表示学习研究方向书籍，很权威。,2021-12-25 11:13:29
468,烽烟aaa,功利主义,穆勒,功利主义本质上并不是一个贬义词，这本书就是对功利主义思想的一个很好的阐释,2021-12-26 00:22:34
469,烽烟aaa,斐多篇,柏拉图,国内有杨绛先生的翻译，是苏格拉底被赐毒酒后关于死亡的讨论。国内关于死亡的讨论并不算多，这本较为浅显的西方哲学书籍可以成为了解哲学的一个途径,2021-12-26 00:24:26
470,烽烟aaa,星髓,罗伯特·里德,非常精彩的一本科幻小说，推荐喜欢科幻类型的看看，比今年上映的沙丘要硬一些，但还是有足够的吸引力的,2021-12-26 00:26:26
471,烽烟aaa,檀香刑,莫言,这本书大家可以去豆瓣上看看点评，我看完后只有“这是一部伟大的作品”这种感觉，当然这只是我的一家之言，大家有兴趣都可以看看他的小说,2021-12-26 00:29:52
472,L的开头,赤脚医生手册,责任编辑 周宏,什么病直接告诉你怎么治，中西医都包含，可以作为医学书籍增长经验，特别推荐针灸推拿学生学习。,2021-12-26 18:53:12
473,大钊how,沙丘,弗兰克·赫伯特,与三体同等地位的科幻题材，我感觉没必要多讲什么，肝就完了,2021-12-26 19:49:24
474,甜前必苦瓜,《撒哈拉的故事》,三毛,小孩子可以看懂故事，大人可以读懂内涵，可以让浮躁的人静下心来，细看这世间的平凡往事,2021-12-26 20:07:56
475,ETF-有限与无限的游戏,考试脑科学,池谷裕二,大家知道记忆在人脑中是如何形成的，又保存于何处吗？不了解脑的机制就去学习，相当于不知道体育运动的规则就去埋头苦练，注定事倍功半；而理解运动的规则后再去进行有针对性的训练，则能提高效率，早日进步。,2021-12-27 16:12:34
476,ETF-有限与无限的游戏,气候经济与人类未来,比尔盖茨,影响人类未来40年的重大议题，助力“碳中和”目标，揭示科技创新与绿色投资机会 2021年不可错过的一本书）,2021-12-27 16:14:24
477,ETF-有限与无限的游戏,思辨与立场,"理查德·保罗(Richard W.Paul), 等多位作者",生活中无处不在的批判性思维工具,2021-12-27 16:16:45
478,林染筠,酉阳杂俎,段成式,中国古代的志怪奇书，不但记录了各个方面的奇闻异事，还保留了古代建筑，人文地理等等珍贵史料，喜爱历史和鬼怪异闻的同学千万不能错过。,2021-12-28 17:42:51
479,林染筠,霍乱时期的爱情,加夫列尔·加西亚·马尔克斯,在我心目中，这本书比百年孤独更胜一筹。爱情，首先是一种本能，要么生下来就会，要么永远都不会。这是一本描写爱情，但不仅仅只是描写爱情的巨著。,2021-12-28 18:06:27
480,林染筠,没有人给他写信的上校,加夫列尔·加西亚·马尔克斯,老上校乐观的精神，更加衬托出时代的悲哀，这种日复一日的绝望。而写出这则故事的时候，也正是马尔克斯老先生最为穷困潦倒的时期，或许我们可以借助这本书，窥见作者的内心一隅吧。,2021-12-28 18:12:06
481,林染筠,眠,村上春树,村上春树应该是我第二喜爱的作者，这本《眠》也是我看村上的第一本书，一口气看完了，便觉得胸口有种窒息的感觉，好些天都没有缓下来，最后还是将另外一本《袭击面包店》看完才将这种感觉咀嚼殆尽。,2021-12-28 18:19:17
482,林染筠,袭击面包店,村上春树,与《眠》类似，用荒诞的故事来表达作者内心深处的反抗意识，或许也代表着部分日本人对西方控制的不满吧。我便不做揣测了，相信诸君自有评价。,2021-12-28 18:23:56
483,林染筠,再袭面包店,村上春树,《袭击面包店》的续作，同样的人物，再次上演不同的故事。,2021-12-28 18:25:30
484,激进的小兜子,《文学回忆录》,木心口述，陈丹青整理出版,这本书真正能调动我对文学和哲学的浓厚兴趣，因为都是木心先生上课的实录，所以读起来很容易理解。他的很多观点和我们的传统知识架构是不同的，也正是这种碰撞能够激发我们对文学的热情，读完真的很畅快。,2021-12-29 14:07:39
485,bili_44242079000,论个人在历史上的作用问题,普列汉诺夫,豁然开朗,2022-01-01 17:26:11
486,了凡,Go语言设计与实现,左书祺,"这本书刚发布，之前在博客上阅读量很大,go语言现在在编程界很火，这本书解释了很多go实现原理和底层源码，对于从业者的知识深度拓展帮助很大。",2022-01-01 20:36:18
487,刘小时123,人们为什么不信任政府,小约瑟夫•S.奈,是专业课老师推荐的一本书，一直很难忘。这本书是研究公众对美国政府信任度下降的一些调查。其中提到的一些观点觉得很有意思，感兴趣的可以去看看。,2022-01-02 02:10:32
488,急性子小德,潜规则 和 血酬定律,吴思,帮助受过社会毒打的人 更好的认清世界,2022-01-02 08:05:09
489,追梦的唐先生,孟子,孟子,古典诗词,2022-01-02 09:08:46
490,岑白,《共产党宣言》,卡尔·马克思,全世界无产者，联合起来！,2022-01-02 14:04:03
491,些许,《沉默的大多数》,王小波,在这个很喧嚣的时代，好像有一批人对很多事保持着沉默，又或者是对自己真正想法的沉默。那么沉默的大多数里面有没有你或者我呢？,2022-01-02 23:53:33
492,我也你好,置身事内,兰小欢,非常生动的讲述中国经济现状，并且切合实际可以更好了解中国经济~,2022-01-03 10:59:21
493,雁归一,《我不是杀人犯》,弗雷德里克·肖索依,即使在将来，不论在医院还是在家中，临终关怀都得到充足的发展。以至于濒死之人不再被遗弃，我们还是不可避免地会面对生命停止的那一刻。,2022-01-03 11:06:27
494,之一,《影响力》,罗伯特•西奥迪尼,研究人类行为的典范之作，这本书告诉你如何从心理学的角度认知世界，在纷繁错杂的世界里保持清醒,2022-01-03 15:44:18
495,之一,《希腊棺材之谜》,埃勒里•奎因,奎因是黄金时代推理的三巨头之一。这是他的代表作，四重反转绝对是推理谜的挚爱。,2022-01-03 15:48:19
496,之一,《我们为什么要睡觉？》,马修•沃克,好好睡觉，好好睡觉，好好睡觉。这本书告诉你如何以及为何要好好睡觉,2022-01-03 15:49:49
497,大聪明厄加特,雪中悍刀行,烽火戏诸侯,哪个少年不曾有过江湖梦呢？,2022-01-03 16:19:49
498,Bamrain,梦控师,追梦蚂蚁,教你如何操控梦境，如何利用梦境来寻找灵感。例：你在现实中弹钢琴很菜，你可以在梦境中请教业界大佬来教你练习曲子及指法动作。例：在现实中某些实验操作必须要在及其苛刻的条件下才能进行，而在梦境中你可以轻易地创造此条件。,2022-01-04 03:20:31
499,些许,《如何成为一个有趣的人》,王小圈,比起让别人觉得自己有趣，其实先自己热爱生活，让自己先觉得自己有趣，可能更有意思。,
500,天口山石,阿甘正传,Winston Groom,疯子有疯子的趣味，不足为外人道也,
501,天口山石,一个陌生女人的来信,斯蒂芬•茨威格,情之深，爱之切，涕流矣,
502,雷先生和一只兔子,人间失格,太宰治,"解救需要救赎的灵魂
我问神灵：不反抗难道也是一种罪过吗？",
503,CB,诡秘之主,爱潜水的乌鱼,虽然是一本网络小说，但其中的剧情、描写、人物刻画都十分出色。讲的是一个小人物在末日来临时的挣扎,
504,老狗,乌合之众,居斯塔夫勒庞,群体从来不渴望真理和真相，而是幻觉和情绪的满足。个体一旦进入群体中就会表现出冲动、盲目、易怒、轻信,
505,逍遥,了凡四训,（明）袁了凡,《了凡四训》 又名《命自我立》， 是一本种德立命、修身治世类教育书籍，全书有四个部分：立命之学、改过之法、积善之方、谦德之效，细细品读更有滋味。,
506,高晨明惠子,《人生哲思录》,周国平,“浩瀚宇宙间，也许只有我们的星球开出了生命的花朵”,
507,吖,我,我,我,
508,snail,中国历代政治得失,钱穆,用简练的语言系统阐述了汉唐宋明清的政治制度，浅显易懂，鉴古知今，推荐给各位历史政治方面的爱好者。,
509,snail,两次全球大危机的比较研究,刘鹤主编,与其说是一本书，不如说是一本论文集，由中央财经领导小组、央行、银监会、社科院的大咖们编写的，对比研究了1929年大萧条和2008年全球金融危机两次重大历史事件，每篇论文逻辑清晰、数据详实，有分析有启示也有对策，是理解当下全球经济形势的一本读物，也是财经研究的一本参考文献。,
510,可以叫我李总,被讨厌的勇气,岸见一郎 古贺史健,阿德勒心理学,
511,grace,圈子圈套,王强,涉及外企销售圈的职场故事，可读性很强，本人阅读下来收益很多。,
512,418155683,平凡的世界,路遥,书籍很好看，评分很高，谢谢共享者！,
513,好奇天狗的狼妖,《人都是要死的》,西蒙娜·德·波伏瓦,这本书讲了一个永生人（大家自己看看吧hhh，真的很不错。）,
514,宏声,《先验观念论体系》,谢林,读完直接迈向观念论和辩证法,
515,li,《如父如子》,是枝裕和,很温暖治愈的故事,
516,。,《性生活常识必读全书》,作者：李宏军,我认为这是让女孩们了解从来不清楚或不知道的常识。,
517,寿司崽,《医学影像》,孟悛非,康康,
518,Cadmus,见识,吴军,我的研究生老师说，如果她在大学的时候就读过这本书的话，她应该会过另外一种人生。然后，我也因这本书，获益良多，影响了我现在的一些习惯。,
519,无幻,论语,孔子,传世经典,2022-02-08 10:29:36
520,一根羽毛,遇见未知的自己,张德芬,亲爱的，外面没有别人只有自己,2022-02-11 20:34:58
521,---boom,上帝掷骰子吗？量子物理史话,曹天元,以风趣的口吻将量子这个“野孩子”的成长历程娓娓道来，卢瑟福，玻尔，爱因斯坦…无数人曾为此困惑。,2022-02-13 23:05:33
522,398784759,《把时间当做盆友》,李笑来,读完后有一种很通明的感觉，很适合大学生，高中生，初入社会的人都很适合阅读。,2022-03-04 09:27:08
523,𒀀,《明解Java》,【日】柴田望洋,Java小白入门书籍，比教材好用，生动贴切的例子与大量示例代码和图表轻松理解Java语言，循序渐进的学习路线和难度适当的练习题更利于打好基础。此书只适合入门和回顾基础知识，进阶选择其他书籍。,2022-03-19 23:08:36
524,𒀀,《图解TCP/IP》,竹下隆史 等,入门书，用图画的方式讲解TCP/IP知识,2022-03-19 23:12:02
525,𒀀,图解HTTP,【日】上野宣,入门书，图画的方式讲解HTTP，书很薄,2022-03-19 23:13:55
526,K24,利用Python进行数据分析,Wes Mchkiney,"pandas的创始人,全书非常之细致、系统化,非常适合想要在数据分析领域扎根的小白",2022-03-24 14:12:22
527,千年妖精,《心流：最优体验心理学》,米哈里·契克森米哈赖,心理理论之父、积极心理学奠基人米哈里•契克森米哈赖在30年前，在大量案例研究基础上，开创性地提出了“心流”的概念。本书系统阐述了心流理论，进入心流状态的条件，从日常生活、休闲娱乐、工作、人际关系等各方面，阐述如何进入心流状态。对心理学爱好者和研究者来说，《心流》是理解积极心理学等领域不可或缺的理论素材；对大众读者来说，这更是一本提升幸福感和效率的行动指南。,2022-04-06 10:15:07
528,pikaqiu,《哲学导论》,王德峰,从西方哲学的缘起一路讲到马哲，前一章节所列学者的论点往往为后一章节所列学者的论点所驳，生动展现了西方哲学的思辨发展历程。,2022-04-25 21:16:58
529,pikaqiu,《艺术哲学》,王德峰,艺术是真理的原始发生。,2022-04-25 21:18:02
530,pikaqiu,《去政治化的政治》,汪晖,对中国现代化发展的洞见和批判。有主张认为汪晖老师是我国新左派的代表人物，加上本书的语言运用相对较为学术化，如难以接受相对偏左风格的学术论著的读者慎入。,2022-04-25 21:21:51
531,Aurigei,物理世界奇遇记w,乔治·伽莫夫、罗素·斯坦纳德,一本科普读物，打开了我对物理的无限幻想，也是我的启蒙者。复杂的物理现象在作者笔下变得妙趣横生，适合很多人了解。,2022-04-29 20:15:25
532,一大口啊,《只有医生知道！》,张羽,用幽默平实的语言科普妇产知识，让人获益良多,2022-05-04 09:37:42
533,广西新增了透明,《非暴力沟通》,[美] 马歇尔·卢森堡,作者倡导在交流过程中，通过专注于自己和他人的感受及需要，可以减少争辩和对抗，培养彼此的尊重与爱；这样，通过建立双方的感情联系并促进理解，矛盾就能以非暴力的方式解决。,
534,me,白夜行,东野圭吾,无私的爱，悲惨的结局，冷硬的心。,
535,顺风顺水,沟通的艺术,罗纳德·B·阿德勒 / 拉塞尔·F·普罗科特,对人际交往和沟通真的很有帮助,
536,zillah,《西游记》,吴承恩,建议首先观看B站 渤海小吏 的解读，瞬间勾起兴趣，品味神话故事背后的社会映射。,
